  error - Undefined name 'illust'. Try correcting the name to one that is defined, or defining the name - lib\screens\illust_detail_ui_components.dart:26:11 - undefined_identifier
  error - The named parameter 'illustId' is required, but there's no corresponding argument. Try adding the required argument - lib\screens\illust_detail_ui_components.dart:79:16 - missing_required_argument
  error - The named parameter 'illust' isn't defined. Try correcting the name to an existing named parameter's name, or defining a named parameter with the name 'illust' - lib\screens\illust_detail_ui_components.dart:80:11 - undefined_named_parameter
  error - The named parameter 'host' isn't defined. Try correcting the name to an existing named parameter's name, or defining a named parameter with the name 'host' - lib\screens\illust_detail_ui_components.dart:81:11 - undefined_named_parameter
  error - The named parameter 'onTap' isn't defined. Try correcting the name to an existing named parameter's name, or defining a named parameter with the name 'onTap' - lib\screens\illust_detail_ui_components.dart:82:11 - undefined_named_parameter
  error - The named parameter 'isLargeScreen' is required, but there's no corresponding argument. Try adding the required argument - lib\screens\illust_detail_ui_components.dart:89:14 - missing_required_argument
  error - The named parameter 'maxHeight' is required, but there's no corresponding argument. Try adding the required argument - lib\screens\illust_detail_ui_components.dart:89:14 - missing_required_argument
  error - The argument type 'String?' can't be assigned to the parameter type 'String'.  - lib\screens\illust_detail_ui_components.dart:90:14 - argument_type_not_assignable
  error - The named parameter 'previewUrl' isn't defined. Try correcting the name to an existing named parameter's name, or defining a named parameter with the name 'previewUrl' - lib\screens\illust_detail_ui_components.dart:91:9 - undefined_named_parameter
  error - The named parameter 'onTap' isn't defined. Try correcting the name to an existing named parameter's name, or defining a named parameter with the name 'onTap' - lib\screens\illust_detail_ui_components.dart:92:9 - undefined_named_parameter
  error - Undefined name 'illust'. Try correcting the name to one that is defined, or defining the name - lib\screens\illust_detail_ui_components.dart:110:11 - undefined_identifier
  error - Undefined name 'illust'. Try correcting the name to one that is defined, or defining the name - lib\screens\illust_detail_ui_components.dart:126:49 - undefined_identifier
  error - The argument type 'NetworkImage?' can't be assigned to the parameter type 'Widget?'.  - lib\screens\illust_detail_ui_components.dart:138:28 - argument_type_not_assignable
  error - Undefined name 'illust'. Try correcting the name to one that is defined, or defining the name - lib\screens\illust_detail_ui_components.dart:138:28 - undefined_identifier
  error - Undefined name 'illust'. Try correcting the name to one that is defined, or defining the name - lib\screens\illust_detail_ui_components.dart:139:40 - undefined_identifier
  error - Undefined name 'illust'. Try correcting the name to one that is defined, or defining the name - lib\screens\illust_detail_ui_components.dart:149:25 - undefined_identifier
  error - Undefined name 'illust'. Try correcting the name to one that is defined, or defining the name - lib\screens\illust_detail_ui_components.dart:157:28 - undefined_identifier
